GEOID,sovi,rank
g21079,-1.662503153641549,2380.0
g21081,-2.6325359539069924,2665.0
g21083,0.17208621087778364,1477.0
g21085,-0.6797388229827359,1953.0
g21087,1.148498481761474,965.0
g21089,0.3961849278641447,1366.0
g21091,-2.290409732500538,2567.0
g21093,-1.8678016134232611,2447.0
g21095,1.3019097900984664,895.0
g21097,0.5579365613959333,1272.0
g21099,0.1005320097921758,1522.0
g21101,0.09540865507101637,1524.0
g21103,-0.4571367830709643,1851.0
g21105,3.940524828744387,198.0
g21107,0.7387991170988298,1173.0
g21109,0.6136869750461618,1234.0
g21111,0.11784709288638107,1516.0
g21113,-1.2506912643893158,2233.0
g21115,-0.844029061901578,2034.0
g21117,-2.003492790197572,2490.0
g21119,-0.044020101700493974,1600.0
g21121,2.4883545571231407,440.0
g21123,-1.6833846898898177,2387.0
g21125,-0.957308535442369,2085.0
g21127,1.0378762168489102,1017.0
g21129,-1.9792204595227227,2481.0
g21131,0.3425231460202731,1397.0
g21133,-0.15974949050065534,1674.0
g21135,1.004068035453538,1032.0
g21137,0.17067211194285137,1479.0
g21139,0.8191783030387891,1130.0
g21141,-0.6650080355414756,1944.0
g21143,-0.5141517375317806,1878.0
g21145,0.8417893945757636,1116.0
g21147,-1.0921589539242866,2144.0
g21149,0.54253214263481,1282.0
g21151,-0.4959267358681396,1864.0
g21153,0.6656103999780165,1212.0
g21155,-1.6270912655278713,2366.0
g21157,0.8407518758769505,1117.0
g21159,1.1934621576359707,939.0
g21161,1.5979178589888086,762.0
g21163,-3.491653279928072,2854.0
g21165,2.5930124548767486,419.0
g21167,0.3898550745468704,1370.0
g21169,-1.6126266254795094,2361.0
g21171,0.6028518217773771,1243.0
g21173,-0.5365225559498936,1891.0
g21175,-2.273288941031428,2563.0
g21177,-0.5081324508066369,1873.0
g21179,-2.0527684094639023,2507.0
g21181,0.659860132831471,1216.0
g21183,0.0035818537873577583,1578.0
g21185,-7.634418648121909,3122.0
g21187,-1.5767457529051174,2349.0
g21189,5.610831435116301,97.0
g21191,-2.318227422042959,2577.0
g21193,0.40792645897817104,1359.0
g21195,-0.46907886856660586,1856.0
g21197,1.7570747354493728,695.0
g21199,0.8333677274083238,1123.0
g21201,0.4215887263074076,1351.0
g21203,1.2327106815663817,917.0
g21205,0.5833297575789855,1253.0
g21207,0.9452007468550265,1055.0
g21209,-3.3789813090534437,2837.0
g21211,-1.0805759280477956,2139.0
g21213,-0.045653873471823814,1602.0
g21215,-4.990843852648632,3022.0
g21217,1.7080555527552397,716.0
g21219,-0.3466763555278898,1784.0
g21221,-0.6973694685480175,1964.0
g21223,-3.854245910081684,2918.0
g21225,-0.9124851528958706,2069.0
g21227,-1.1864785290867201,2194.0
g21229,-1.1652589915069997,2179.0
g21231,0.9220509108475081,1067.0
g21233,-1.2277482337096681,2220.0
g21235,2.1605060349491296,534.0
g21237,5.486797243957962,103.0
g21239,-3.2062015789221436,2802.0
g22001,0.37609993658964,1380.0
g22003,-1.264887570933951,2238.0
g22005,-5.633390101891173,3060.0
g22007,-2.367647531347461,2586.0
g22009,2.6101189892297505,415.0
g22011,-2.989045470523493,2747.0
g22013,3.516858410599186,254.0
g22015,-1.7473448889642902,2408.0
g22017,1.7416207750962993,700.0
g22019,-1.0107171586791004,2102.0
g22021,-0.9542230875787849,2084.0
g22023,-5.829404377835436,3075.0
g22025,-1.437588621695503,2302.0
g22027,0.4491277683874524,1341.0
g22029,2.8977314612597747,346.0
g22031,1.4499774466999593,827.0
g22033,-1.2861702868730416,2245.0
g22035,5.738575429815416,91.0
g22037,-0.7938564648807929,2008.0
g22039,1.1951318279462444,937.0
g22041,2.61976262353934,411.0
g22043,-3.1134419946183254,2782.0
g22045,-0.33075040197078076,1773.0
g22047,-2.017703270004888,2496.0
g22049,0.2959215528502479,1423.0
g22051,0.13681942588653317,1497.0
g22053,-0.9036088143850216,2067.0
g22055,-2.5196869229966232,2628.0
g22057,-1.7957257561067106,2428.0
g22059,-2.379357652526715,2592.0
g22061,0.5409740481755612,1283.0
g22063,-4.708742130601756,2999.0
g22065,2.0563523220731295,568.0
g22067,3.775148237824589,226.0
g22069,1.577077139582442,775.0
g22071,1.9361527653982733,617.0
g22073,0.5032156090890183,1306.0
g22075,-4.529913008136288,2983.0
g22077,-0.6133580221664816,1924.0
g22079,1.2249389987446104,919.0
g22081,0.6967827957597539,1195.0
g22083,1.507859736663812,810.0
g22085,-0.38527321547821947,1805.0
g22087,-2.0520309408859476,2506.0
g22089,-3.8730883184492537,2919.0
g22091,1.794138465871022,680.0
g22093,-0.8504003756183774,2042.0
g22095,-0.9187097839929003,2072.0
g22097,1.7151101828308892,713.0
g22099,-0.7921588093560609,2005.0
g22101,-0.2441462752356054,1720.0
g22103,-3.795853626870233,2908.0
g22105,-1.0347982172837824,2113.0
g22107,5.699093856507155,93.0
g22109,-2.347399531337543,2585.0
g22111,-0.20498921000562298,1696.0
g22113,-1.7376268677224003,2405.0
g22115,-2.6622520126578944,2676.0
g22117,2.2652700510855848,502.0
g22119,1.1483760728882944,966.0
g22121,-2.15988433536342,2539.0
g22123,1.7880633403096007,683.0
g22125,-9.449578466088731,3138.0
g22127,-0.13587305472915068,1657.0
g23001,-0.217032182107183,1703.0
g23003,2.269049565077643,499.0
g23005,-1.7823501663633528,2420.0
g23007,1.9585163264150642,605.0
g23009,0.2655819463675563,1437.0
g23011,-0.1266647710878368,1650.0
g23013,0.3291804889537807,1407.0
g23015,0.10389571389405439,1520.0
g23017,0.891790472238126,1084.0
g23019,-0.22963866384839582,1710.0
g23021,2.1846304190853614,527.0
g23023,-1.2923237570509811,2251.0
g23025,0.31592440785755554,1412.0
g23027,0.14286306890060907,1496.0
g23029,2.7430881359985744,386.0
g23031,-1.2637452721315312,2237.0
g24001,1.4953908899009307,812.0
g24003,-6.004344645399922,3084.0
g24005,-1.9004526426953043,2457.0
g24009,-6.297653691173055,3098.0
g24011,-0.8096630576768455,2018.0
g24013,-4.991156595575686,3023.0
g24015,-3.286827949544619,2817.0
g24017,-5.781842835329556,3071.0
g24019,1.7975262672745216,679.0
g24021,-5.442433686428444,3052.0
g24023,0.19115241345592,1467.0
g24025,-4.838182968271196,3008.0
g24027,-9.284888225160767,3137.0
g24029,2.3480244962358503,476.0
g24031,-4.909568380223099,3013.0
g24033,-1.814219703988193,2432.0
g24035,-4.955363836939126,3020.0
g24037,-5.695603491797418,3064.0
g24039,0.2609657676759243,1440.0
g24041,1.1827834042626268,945.0
g24043,-1.4291010790344028,2298.0
g24045,0.4839201025334272,1318.0
g24047,1.3308028816501187,883.0
g24510,4.896286332202448,128.0
g25001,1.3442116044071262,875.0
g25003,2.432760931397885,449.0
g25005,0.8112815441684087,1132.0
g25007,-1.3248836583109498,2258.0
g25009,-0.3747942673779774,1800.0
g25011,-0.8135862554606319,2021.0
g25013,3.3651509277977327,273.0
g25015,-1.6547202114658146,2374.0
g25017,-4.361205530028349,2965.0
g25019,-6.081979328677042,3088.0
g25021,-4.522018507876318,2982.0
g25023,-2.683098132892403,2681.0
g25025,4.270158419737461,163.0
g25027,-1.7285869467271975,2401.0
g26001,5.211080330230906,118.0
g26003,1.952182808064626,610.0
g26005,-2.394545929173045,2600.0
g26007,1.215483254638684,925.0
g26009,1.9113681465314718,628.0
